barcode,Olig,eNeuron,iNeuron,endo_mural,microglia,astrocytes
0,0.15087085913623915,0.0419905668612117,0.01196623125436214,0.49623628779372697,0.08328480511634621,0.21565124983811368
1,0.184754397401836,0.052442086859184424,0.1257517515696198,0.2982634566619211,0.16262693464636896,0.1761613728610697
2,0.1545926119244966,0.06532660341254119,0.05418449829860233,0.3020532814811033,0.18922403063715101,0.23461897424610564
3,0.1649682422789569,0.054152562921697074,0.13689758556521808,0.23680590056562215,0.2357390288984115,0.1714366797700943
7,0.20131983260914985,0.09804518985553769,0.06238205326046078,0.2799898990305106,0.1651801086909518,0.19308291655338933
8,0.1903248767420648,0.06923941487203394,0.10228500643983232,0.29042251305678585,0.1792106523838295,0.16851753650545356
9,0.20621028344816184,0.08707093471471374,0.09335118169875019,0.27057724068377437,0.15598740441965647,0.1868029550349434
10,0.1971848136688985,0.09734743379868077,0.1228699611328188,0.26498828334106356,0.16253330157075987,0.15507620648777842
14,0.20358627416993144,0.09950326162776589,0.0834946820401644,0.2589108993894417,0.17810782901921426,0.17639705375348225
15,0.1986931397759974,0.09986151267349871,0.07483031113616505,0.2862015069262636,0.17863041113780698,0.16178311835026815
16,0.2114979157541997,0.10517634613786508,0.06827927663311305,0.25451609339698333,0.1786501786816093,0.18188018939622955
17,0.20279259622897514,0.11562186682562915,0.06995851233539453,0.2857585132935977,0.16074342587316945,0.16512508544323404
21,0.20325966075181193,0.10136244777951424,0.05068930985407411,0.303343894635128,0.16136789131189794,0.17997679566757382
22,0.21360113245234844,0.10739721863876638,0.06625909038831276,0.2805383767690584,0.14875017512770422,0.18345400662380967
23,0.18985404575866693,0.10335242016672665,0.08077614884288017,0.262400544419832,0.18696475009408933,0.1766520907178049
24,0.188602167348864,0.13001590642939545,0.06341967549827328,0.3136952859503854,0.1376818605267659,0.16658510424631598
28,0.19582310337788325,0.09987751961015656,0.07019835435721852,0.28647661686262094,0.16563313807916685,0.18199126771295368
29,0.2025218925979645,0.10842611495214079,0.07227205749124924,0.2586786588526622,0.18030530772089107,0.1777959683850922
30,0.1901150801765154,0.11982305869371652,0.07115967391262476,0.2630030617354491,0.1700005677677013,0.185898557713993
31,0.18513005052563936,0.12406510781662033,0.058631837363747524,0.2614429124853847,0.15374373535006278,0.2169863564585452
35,0.17717657703066164,0.10597608746445857,0.08357119452810595,0.27356394948427837,0.16882937569442338,0.19088281579807212
36,0.2065219262787754,0.11742026322239865,0.06586328292487588,0.2755995844728333,0.15966191242337685,0.17493303067773996
37,0.20549999308129624,0.11471490272579299,0.05370681770497525,0.2681338460088963,0.17345805483226942,0.18448638564676975
38,0.18519009046507576,0.13261804199315486,0.054467803591967734,0.25650318766947916,0.15193429910773315,0.21928657717258956
42,0.18059472037885704,0.11105280820411596,0.07283966947698495,0.27758814222585165,0.17998392345624853,0.17794073625794207
43,0.18338463209398734,0.0962604170800133,0.07628938074862926,0.2839093179377746,0.1546385085241017,0.20551774361549383
44,0.18525647454372066,0.1208456693737614,0.062332576464099884,0.2823335733950264,0.15079588010000336,0.19843582612338834
45,0.1812238727159535,0.12531987530392133,0.0737576603746552,0.26954553209507104,0.17316732668545357,0.1769857328249453
49,0.19596498409655883,0.09661686770611262,0.11390683511538258,0.26257553555083013,0.14645389220247504,0.18448188532864096
50,0.16490138485086428,0.08787632108317313,0.10189562927510733,0.2813969362363483,0.1826902670209417,0.18123946153356524
51,0.18353965152833165,0.10560152952996708,0.10963190714964378,0.27772955118643633,0.15615040727211055,0.16734695333351057
52,0.17212562058380804,0.1152171375064471,0.1355494000341808,0.2542627118672063,0.1400362440985603,0.1828088859097975
56,0.19570140166290995,0.10680841725493925,0.08852171941735527,0.2505407190390839,0.18268240849401768,0.17574533413169383
57,0.17193865316471024,0.11304350931706136,0.09359307560514439,0.2748599092397362,0.16162905978715145,0.1849357928861963
58,0.17686564676452915,0.11229891022749151,0.0903728117231586,0.2844100168921204,0.1590696798211701,0.17698293457153036
59,0.17547884037233338,0.12522531262776232,0.126281499472157,0.26014953187485773,0.1432909888365682,0.16957382681632138
63,0.19565111883612643,0.10271689876755148,0.06431794358864124,0.2650669952248289,0.18081495940995623,0.19143208417289573
64,0.20750565363044352,0.11703213956010339,0.08014031545199618,0.2677878751754679,0.1547209368680533,0.1728130793139356
65,0.205323234037849,0.11700074961991816,0.0739636639670705,0.259426805626389,0.17423422099964192,0.1700513257491315
66,0.18775685598177635,0.12142909567808141,0.12172670407175318,0.2342457505718553,0.16391351006594312,0.17092808363059067
70,0.19964987779953128,0.10390152264205303,0.07056053119916068,0.2775833174709358,0.15850562949452446,0.18979912139379487
71,0.1819040209761696,0.0914627845026226,0.07675777881934565,0.30059569668331865,0.16311267089867532,0.1861670481198683
72,0.1872462228885885,0.10990730696792285,0.07781611476378965,0.2605011343654659,0.16835409336460153,0.19617512764963163
73,0.18340083520127745,0.09470106695629929,0.16639467074903788,0.2401951707521339,0.14438274133345577,0.17092551500779585
77,0.20223038720369854,0.09848268406876352,0.09361320781472988,0.25840556871822307,0.14953288944763565,0.19773526274694941
78,0.21354766421692217,0.09576536411280427,0.08210554791904268,0.2721305147696517,0.1700019120148544,0.16644899696672477
79,0.20019086829776217,0.11616215776577588,0.07715409415086888,0.26153381956968447,0.1589304682149489,0.18602859200095967
80,0.18936377454291198,0.12038437381026497,0.07293667100351153,0.30338405064435253,0.14992279989109258,0.16400833010786656
81,0.22190690882261377,0.10666610030132502,0.06866603444872946,0.26815496723790366,0.17378476065717804,0.1608212285322501
82,0.17513325345727254,0.1210993189501281,0.0604849154484556,0.28470618762183186,0.197395127146678,0.16118119737563388
83,0.18533268140692574,0.11117001618660499,0.06970146295543246,0.26868121720957,0.1785622391408872,0.1865523831005796
84,0.21064483041643584,0.09675044545617373,0.07369177741170464,0.2729372165325243,0.17036349645854187,0.1756122337246196
85,0.19599326718824084,0.0974381790943121,0.09415659865036213,0.26686806363203947,0.1675937344849055,0.17795015695013996
86,0.20911356177165003,0.10147539561335815,0.0534302683495311,0.2732623699384617,0.16361539833270772,0.1991030059942913
87,0.19989718311195323,0.09840642840606663,0.06461767004378118,0.27784093139218047,0.1801016542962183,0.17913613274980017
88,0.1850747275755621,0.09310433208606696,0.09646597199572808,0.2723458603511768,0.16443478130607458,0.18857432668539145
89,0.20995411333128577,0.08045776351781132,0.1130814492864453,0.2766839781507753,0.17099850999249422,0.1488241857211881
90,0.21858674961618188,0.11640263580387394,0.0633802980187452,0.27536685288827223,0.16181845648293944,0.16444500718998734
91,0.2467016699414136,0.06913862259493281,0.06384353933636205,0.30912647096605816,0.14910640147045545,0.1620832956907779
92,0.18517815362094014,0.09420941178029828,0.09268488824442037,0.2929104569732624,0.17481030867033148,0.16020678071074734
93,0.1918782224844863,0.10380600570309273,0.06513216016206455,0.2808722141678012,0.1886258539906147,0.16968554349194057
94,0.2122449139508029,0.08602880894201717,0.08037655113634486,0.26958039285233465,0.16739094403756416,0.18437838908093637
95,0.20224944249086446,0.09211631233114347,0.07096679653811362,0.2890430839815189,0.16878063404619362,0.17684373061216616
96,0.17991054363571593,0.09381575296423836,0.06345046881106464,0.3044990755866085,0.18984730465027153,0.1684768543521011
97,0.18466509230164485,0.10991162240067794,0.0737353415459021,0.27919480919055095,0.1600352905893368,0.1924578439718874
101,0.19847063176073704,0.08380917975963784,0.07415102108309551,0.29682173884870483,0.17252596638791706,0.1742214621599077
102,0.2249402124671399,0.07530603700535962,0.08442254910855977,0.26670890856909857,0.17386998860362382,0.17475230424621827
103,0.2192100821156634,0.06851984850794272,0.0783391166633878,0.26459710389504565,0.18875237159074346,0.18058147722721696
104,0.14510844583639393,0.03910128053449839,0.06275679153805289,0.29402110190608804,0.11879111032570477,0.34022126985926193
109,0.27017176368718404,0.019050814844075593,0.06213155575891405,0.2917598954488658,0.1317629809620072,0.22512298929895347
110,0.26757903041412945,0.025534061865637288,0.04768398429477055,0.27909181592465665,0.1909924083116728,0.1891186991891333
